    time factorize  solve_LU
       0         1         1
      30         0         1
      60         0         1
      90         0         1
     120         0         1
     150         0         1
     180         0         1
     210         0         1
     240         0         1
     270         0         1
     300         1         1
     330         0         1
     360         0         1
     390         0         1
     420         0         1
     450         0         1
     480         0         1
     510         0         1
     540         0         1
     570         0         1
     600         1         1
     630         0         1
     660         0         1
     690         0         1
     720         0         1
     750         0         1
     780         0         1
     810         0         1
     840         0         1
     870         0         1
     900         0         0
